,Dataset,Dataset Indices,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rotation,Flare,Ear (bin),Ear
305,SONICOM,196,1.54056,0.783163,1.7048,0.856886,4.86,2.82853,0.44,0.98,0.99,0.24,17.03727352324044,29.801783542946453,1.0,Right
42,HUTUBS,70,1.7399,0.8243,1.7033,1.843,5.8674,2.9323,0.5,1.11,1.18,0.26,18.1376,17.6266,0.0,Left
222,SONICOM,10,1.43973,0.793912,1.85466,1.84973,5.88858,3.16421,0.78,1.11,1.3,0.42,14.466105721067388,21.877276895924407,1.0,Right
136,SONICOM,95,1.72739,0.662261,1.88487,1.8464,5.98252,3.31755,0.85,1.1,1.11,0.28,18.824929055964148,27.66309202925474,0.0,Left
119,SONICOM,72,1.73548,0.656594,1.61852,1.40662,6.6949,2.81077,0.5,1.35,1.24,0.2,4.618858785307963,23.590636418777247,0.0,Left
70,SONICOM,11,1.47123,1.01381,1.54942,0.99965,6.00653,2.54,0.64,1.08,1.11,0.37,7.472234613012555,37.05129656073644,0.0,Left
47,HUTUBS,76,1.6218,0.839,1.8334,1.9207,6.1249,2.9939,0.56,0.9,1.1,0.42,15.4491,30.9816,0.0,Left
34,HUTUBS,60,1.9307,1.0129,2.0073,2.1097,6.0063,2.8845,0.74,1.02,1.23,0.23,17.8851,23.3334,0.0,Left
71,SONICOM,13,2.0482,0.757072,1.78919,1.58661,6.41818,3.15403,0.55,1.12,1.2,0.34,12.47139605705115,32.870705917952904,0.0,Left
62,SONICOM,2,1.7971,1.029,1.25694,1.7241,6.74632,2.83772,0.54,1.35,1.05,0.25,14.352561859023515,41.938039727958646,0.0,Left
210,HUTUBS,93,2.0022,0.9814,1.7875,2.2838,6.9702,3.4813,0.77,1.22,1.15,0.31,6.6747,29.8019,1.0,Right
199,HUTUBS,75,1.8067,1.0735,1.4833,2.2334,6.176,3.4515,0.56,1.01,1.15,0.18,9.8397,27.3528,1.0,Right
196,HUTUBS,71,1.8089,1.0687,1.9732,2.0414,6.4456,3.5122,0.97,1.19,1.27,0.36,5.9015,34.3562,1.0,Right
176,HUTUBS,41,1.666,0.9507,1.4584,2.1702,5.6548,2.5683,0.47,1.02,1.15,0.25,6.0596,26.8335,1.0,Right
273,SONICOM,73,1.44014,0.958445,1.79164,1.54766,5.97911,3.02451,0.64,0.96,0.94,0.24,7.2654987011486565,26.862138634417633,1.0,Right
165,HUTUBS,16,1.6608,1.2328,1.8043,1.6599,5.6926,3.0492,0.63,1.02,1.33,0.37,7.4584,17.5939,1.0,Right
133,SONICOM,89,1.782,0.817904,1.61649,1.82777,6.59643,2.75947,0.43,1.17,1.37,0.41,13.388654459725094,22.17623208712512,0.0,Left
223,SONICOM,11,1.65732,0.565154,1.5398,1.4428,5.65154,2.50746,0.72,1.12,1.03,0.39,9.56376688442799,27.682548995909254,1.0,Right
151,SONICOM,181,1.45676,0.821868,1.61025,1.26245,5.5703,2.97606,0.56,0.72,1.02,0.52,9.016984723007242,32.31775165872861,0.0,Left
